ESPNName,ESPNID
AJ Hammons,2991178
A.J. Price,4010
Aaron Brooks,3192
Aaron Gordon,3064290
Aaron Gray,3207
Aaron Harrison,3064510
Aaron Holiday,3922230
Aaron Jackson,2198243
Abdel Nader,2595435
Adonis Thomas,2595274
Adreian Payne,2531100
Al-Farouq Aminu,4248
Al Harrington,308
Al Horford,3213
Al Jefferson,2389
Alan Anderson,6569
Alan Williams,2579326
Alec Burks,6429
Alec Peters,3062897
Alex Caruso,2991350
Alex Kirk,2528355
Alex Len,2596107
Alex Poythress,2991283
Alex Stepheson,2232862
Alexey Shved,3882
Alfonzo McKinnie,2530923
Alize Johnson,4067045
Allen Crabbe,2531210
Allonzo Trier,3907525
Alonzo Gee,4232
Amar'e Stoudemire,1727
Amile Jefferson,2982249
Amir Johnson,2769
Andray Blatche,2746
Andre Dawkins,2488650
Andre Drummond,6585
Andre Iguodala,2386
Andre Ingram,2141179
Andre Miller,557
Andre Roberson,2530596
Andrea Bargnani,2987
Andrei Kirilenko,434
Andrew Bogut,2747
Andrew Bynum,2748
Andrew Goudelock,6435
Andrew Harrison,3064511
Andrew Nicholson,6614
Andrew White III,2990972
Andrew Wiggins,3059319
Anfernee Simons,4351851
Antawn Jamison,385
Anthony Bennett,2991473
Anthony Brown,2531362
Anthony Davis,6583
Anthony Morrow,3474
Anthony Parker,635
Anthony Randolph,3455
Anthony Tolliver,3276
Antonio Blakeney,3907386
Antonius Cleveland,3064237
Archie Goodwin,2991281
Arinze Onuaku,2202117
Armon Johnson,4279
Arnett Moultrie,6612
Aron Baynes,2968439
Arron Afflalo,3187
Austin Daye,3976
Austin Rivers,6617
Avery Bradley,4240
Axel Toupane,3037805
BJ Johnson,3059280
Baron Davis,194
Ben Bentil,3136469
Ben Gordon,2381
Ben Hansbrough,6657
Ben McLemore,2578213
Ben Moore,3057189
Ben Simmons,3907387
Beno Udrih,2448
Bernard James,6593
Billy Garrett Jr.,3059356
Bismack Biyombo,6427
Blake Ahearn,3402
Blake Griffin,3989
Boban Marjanovic,4376
Bobby Brown,3472
Bobby Portis,3064482
Bogdan Bogdanovic,3037789
Bojan Bogdanovic,3593
Bonzie Colson,3138192
Boris Diaw,2167
Brad Wanamaker,6507
Bradley Beal,6580
Brandan Wright,3242
Brandon Bass,2745
Brandon Davies,2490144
Brandon Goodwin,3057198
Brandon Ingram,3913176
Brandon Jennings,3997
Brandon Knight,6448
Brandon Paul,2488911
Brandon Roy,3027
Brandon Rush,3457
Brandon Sampson,3907385
Brendan Haywood,1000
Brian Cook,1998
Brian Roberts,6641
Brian Scalabrine,1021
Briante Weber,2595229
Brice Johnson,2982330
Brook Lopez,3448
Bruce Brown,4065670
Bruno Caboclo,3113297
Bryce Cotton,2531054
Bryce Dejean-Jones,2991475
Bryn Forbes,2994526
C.J. Miles,2778
C.J. Watson,3277
CJ Wilcox,2488999
C.J. Williams,2325499
Caleb Swanigan,3906671
Cameron Bairstow,2528354
Cameron Payne,3064230
Caris LeVert,2991043
Carl Landry,3217
Carlos Boozer,1703
Carlos Delfino,1999
Carmelo Anthony,1975
Caron Butler,1705
Carrick Felix,2531185
Cartier Martin,3930
Casper Ware,2326434
Cedi Osman,3893016
Chandler Hutchison,3149010
Chandler Parsons,6466
Channing Frye,2754
Charles Cooke,2988387
Charles Jenkins,6444
Charlie Villanueva,2792
Chase Budinger,3968
Chasson Randle,2580898
Chauncey Billups,63
Cheick Diallo,3919335
Chimezie Metu,3914283
Chinanu Onuaku,3147366
Chris Andersen,1135
Chris Babb,2326389
Chris Bosh,1977
Chris Boucher,3948153
Chris Chiozza,3137795
Chris Copeland,6635
Chris Douglas-Roberts,3422
Chris Duhon,2377
Chris Johnson,4400
Chris Kaman,1982
Chris McCullough,3153165
Chris Paul,2779
Chris Singleton,6470
Chris  Smith,6639
Chris Wilcox,1731
Chris Wright,6501
Christian Eyenga,3984
Christian Wood,3058254
Chuck Hayes,2834
Cleanthony Early,2991227
Cliff Alexander,3133600
Clint Capela,3102529
Cody Zeller,2579258
Cole Aldrich,4267
Collin Sexton,4277811
Corey Brewer,3191
Corey Maggette,497
Cory Higgins,6544
Cory Jefferson,2488845
Cory Joseph,6446
Coty Clarke,2991134
Courtney Fortson,6541
Courtney Lee,3445
D'Angelo Russell,3136776
DJ Stephens,2489563
D.J. White,3469
Daequan Cook,3196
Dahntay Jones,2008
Dairis Bertans,2585637
DaJuan Summers,4012
Dakari Johnson,3064516
Damian Jones,3064559
Damian Lillard,6606
Damien Inglis,3102534
Damien Wilkins,2506
Damion James,4252
Damion Lee,2595209
Damyean Dotson,2991149
Dan Gadzuric,1710
Daniel Gibson,3006
Daniel Hamilton,3147351
Daniel Ochefu,2991050
Daniel Orton,4263
Daniel Theis,2451037
Danilo Gallinari,3428
Danny Granger,2760
Danny Green,3988
Dante Cunningham,3974
Dante Exum,3102528
Danuel House Jr.,2991155
Darius Johnson-Odom,6596
Darius Miller,6610
Darius Morris,6463
Darko Milicic,2171
Darrell Arthur,3413
Darren Collison,3973
Daryl Macon,4066243
David Lee,2772
David Nwaba,3062744
David Stockton,2489664
David Wear,2488673
David West,2177
Davis Bertans,6426
Davon Reed,3059262
De'Aaron Fox,4066259
De'Anthony Melton,4066436
DeAndre' Bembry,3062667
Deandre Ayton,4278129
DeAndre Jordan,3442
DeAndre Liggins,6453
Dejounte Murray,3907497
Delon Wright,3064447
DeMar DeRozan,3978
DeMarcus Cousins,4258
DeMarre Carroll,3970
Demetrius Jackson,3059273
Dennis Schroder,3032979
Denzel Valentine,2999549
Deonte Burton,3059358
DeQuan Jones,2325490
Derek Fisher,246
Deron Williams,2798
Derrick Brown,3967
Derrick Favors,4257
Derrick Rose,3456
Derrick White,3078576
Derrick Williams,6480
DeSagana Diop,992
DeShawn Stevenson,808
Devin Booker,3136193
Devin Ebanks,4256
Devin Harris,2382
Devin Robinson,3137798
Devonte' Graham,3133601
Dewayne Dedmon,2580913
Dexter Pittman,4283
Deyonta Davis,3937101
Diamond Stone,3924880
Dillon Brooks,3155526
Dion Waiters,6628
Dionte Christmas,4025
Dirk Nowitzki,609
Domantas Sabonis,3155942
Dominic McGuire,3246
Dominique Jones,4246
Donald Sloan,4303
Donatas Motiejunas,6464
Donovan Mitchell,3908809
Donte DiVincenzo,3934673
Donte Grantham,3129674
Dorell Wright,2423
Dorian Finney-Smith,2578185
Doug McDermott,2528588
Dragan Bender,4011991
Draymond Green,6589
Drew Eubanks,3914285
Drew Gooden,1711
Drew Gordon,2327465
Duje Dukan,2528244
Duncan Robinson,3157465
Dusty Hannahs,3001309
Dwayne Bacon,3907821
Dwight Buycks,6503
Dwight Howard,2384
Dwight Powell,2531367
Dwyane Wade,1987
E'Twaun Moore,6460
Earl Barron,2477
Earl Boykins,87
Earl Clark,3971
Earl Watson,1027
Ed Davis,4259
Edmond Sumner,3136485
Ekpe Udoh,4261
Elfrid Payton,2583639
Elias Harris,2489660
Elie Okobo,4230550
Elijah Millsap,4321
Elliot Williams,4294
Elton Brand,91
Emeka Okafor,2399
Emmanuel Mudiay,3892818
Enes Kanter,6447
Eric Bledsoe,4238
Eric Dawson,6555
Eric Gordon,3431
Eric Maynor,4001
Eric Moreland,2531352
Erick Green,2488684
Erik Jay Murphy,2489021
Ersan Ilyasova,2767
Evan Fournier,6588
Evan Turner,4239
Fab Melo,6608
Festus Ezeli,6587
Frank Jackson,4065651
Frank Kaminsky,2579294
Frank Ntilikina,4230547
Fred VanVleet,2991230
Furkan Aldemir,6577
Furkan Korkmaz,3929325
Gal Mekel,4218
Garrett Temple,4023
Gary Clark,3132042
Gary Forbes,4312
Gary Harris,2999547
Gary Neal,4300
George Hill,3438
George King,3064320
Georges Niang,2990969
Georgios Papagiannis,4017846
Gerald Green,2761
Gerald Henderson,3993
Gerald Wallace,1026
Gian Clavell,3137694
Giannis Antetokounmpo,3032977
Gilbert Arenas,974
Glen Davis,3200
Goran Dragic,3423
Gordon Hayward,4249
Gorgui Dieng,2534781
Grant Hill,336
Grant Jerrett,2991009
Grayson Allen,3135045
Greg Monroe,4260
Greg Oden,3225
Greg Smith,6530
Greg Stiemsma,4235
Guerschon Yabusele,4017844
Hakim Warrick,2794
Hamady Ndiaye,4282
Hamed Haddadi,3478
Hamidou Diallo,4080610
Harrison Barnes,6578
Harry Giles III,4065649
Hasheem Thabeet,4016
Hassan Whiteside,4262
Haywood Highsmith,4291678
Henry Ellenson,3906522
Henry Sims,6647
Henry Walker,3464
Hilton Armstrong,2984
Hollis Thompson,6634
Ian Clark,2489785
Ike Anigbogu,4066424
Ike Diogu,2750
Iman Shumpert,6468
Isaac Humphries,3926491
Isaiah Briscoe,3936294
Isaiah Canaan,2490589
Isaiah Hartenstein,4222252
Isaiah Hicks,3074765
Isaiah Taylor,3059336
Isaiah Thomas,6472
Isaiah Whitehead,3136477
Ivan Johnson,6534
Ivan Rabb,3917378
Ivica Zubac,4017837
J.J. O'Brien,2528374
JJ Redick,3024
J.P. Macura,3136483
JR Smith,2444
Jabari Bird,3064308
Jabari Brown,2580784
Jabari Parker,3056600
Jack Cooley,2488713
Jacob Evans,3934621
Jae Crowder,6581
Jahlil Okafor,3135048
JaJuan Johnson,6445
JaKarr Sampson,2608891
Jake Layman,2982268
Jalen Brunson,3934672
Jalen Jones,2579476
Jamaal Franklin,2528356
Jamaal Tinsley,1024
Jamal Crawford,165
Jamal Murray,3936299
Jameel Warney,2982185
Jameer Nelson,2439
Jamel Artis,3059276
James Anderson,4242
James Ennis III,2579321
James Harden,3992
James Johnson,3999
James Jones,2009
James Nunnally,2326411
James Southerland,2488749
James White,3037
James Young,3064509
Jamil Wilson,2488977
JaMychal Green,2327577
Jannero Pargo,1821
Jared Cunningham,6582
Jared Dudley,3201
Jared Jeffries,1717
Jared Sullinger,6624
Jarell Eddie,2528803
Jarell Martin,3064517
Jarnell Stokes,2614962
Jaron Blossomgame,2982240
Jarred Vanderbilt,4278077
Jarrett Allen,4066328
Jarrett Jack,2768
Jarrod Uthoff,2579293
Jarvis Varnado,4266
Jason Kidd,429
Jason Maxiell,2775
Jason Richardson,1018
Jason Smith,3232
Jason Terry,841
Jason Thompson,3462
JaVale McGee,3452
Jawun Evans,3912854
Jaylen Adams,3133874
Jaylen Brown,3917376
Jaylen Morris,3952343
Jayson Tatum,4065648
Jeff Adrien,4335
Jeff Ayres,4008
Jeff Green,3209
Jeff Teague,4015
Jeff Withey,2333797
Jerami Grant,2991070
Jerel McNeal,4158
Jeremy Evans,4295
Jeremy Lamb,6603
Jeremy Lin,4299
Jeremy Tyler,6476
Jerian Grant,2531047
Jermaine O'Neal,615
Jerome Adolphus Jordan,4280
Jerome Robinson,3943606
Jerrelle Benimon,2488701
Jerryd Bayless,3417
Jevon Carter,3133635
Jimmer Fredette,6434
Jimmy Butler,6430
Joakim Noah,3224
Jodie Meeks,4003
Joe Chealey,3058269
Joe Harris,2528794
Joe Ingles,2968436
Joe Johnson,1007
Joel Anthony,3247
Joel Bolomboy,2983551
Joel Embiid,3059318
Joel Freeland,3004
Joel Przybilla,682
Joey Dorsey,3421
Joffrey Lauvergne,2959753
Johan Petro,2780
John Collins,3908845
John Henson,6592
John Jenkins,6594
John Lucas III,2866
John Salmons,1726
John Wall,4237
Johnathan Motley,3059306
Johnathan Williams,3064528
Johnny O'Bryant III,2581084
Jon Leuer,6452
Jonah Bolden,3155533
Jonas Jerebko,3998
Jonas Valanciunas,6477
Jonathan Isaac,4065654
Jonathon Simmons,2579466
Jordan Adams,2993873
Jordan Bell,3064427
Jordan Clarkson,2528426
Jordan Crawford,4243
Jordan Farmar,3002
Jordan Hamilton,6436
Jordan Hill,3994
Jordan Loyd,2595592
Jordan McRae,2531797
Jordan Mickey,3064520
Jordan Sibert,2579279
Josh Emmanuel Akognon,6656
Josh Childress,2373
Josh Harrellson,6439
Josh Hart,3062679
Josh Howard,2006
Josh Huestis,2531364
Josh Jackson,4066297
Josh McRoberts,3220
Josh Okogie,4065663
Josh Powell,2197
Josh Richardson,2581190
Josh Selby,6467
Josh Smith,2411
Jrue Holiday,3995
Julian Washburn,2579492
Julius Randle,3064514
Julyan Stone,6543
Justin Anderson,2982340
Justin Hamilton,6590
Justin Harper,6438
Justin Holiday,2284101
Justin Jackson,3138156
Justin Patton,3912332
Justise Winslow,3135047
Jusuf Nurkic,3102530
Juwan Howard,351
KJ McDaniels,2566741
Kadeem Allen,3134880
Kalin Lucas,2282734
Karl-Anthony Towns,3136195
Kawhi Leonard,6450
Kay Felder,3062892
Keita Bates-Diop,3136779
Keith Appling,2531097
Keith Benson,6425
Keith Bogans,1995
Kelenna Azubuike,2821
Kelly Olynyk,2489663
Kemba Walker,6479
Kendall Marshall,6607
Kenneth Faried,6433
Kenrich Williams,3133626
Kent Bazemore,6637
Kentavious Caldwell-Pope,2581018
Kenyon Martin,515
Kevin Durant,3202
Kevin Garnett,261
Kevin Huerter,4066372
Kevin Jones,2326257
Kevin Knox II,4278075
Kevin Love,3449
Kevin Martin,2394
Kevin Murphy,6613
Kevon Looney,3155535
Keyon Dooling,209
Khem Birch,2578240
Khris Middleton,6609
Khyri Thomas,3912334
Kim English,6586
Kirk Hinrich,1981
Klay Thompson,6475
Kobe Bryant,110
Kobi Simmons,4066335
Kosta Koufos,3444
Kostas Antetokounmpo,4066490
Kostas Papanikolaou,4195
Kris Dunn,2991139
Kris Humphries,2433
Kris Joseph,6599
Kristaps Porzingis,3102531
Kurt Thomas,846
Kwame Brown,981
Kyle Anderson,2993874
Kyle Collinsworth,2528327
Kyle Korver,2011
Kyle Kuzma,3134907
Kyle Lowry,3012
Kyle O'Quinn,6615
Kyle Singler,6469
Kyle Wiltjer,2581029
Kyrie Irving,6442
Kyrylo Fesenko,3205
Lamar Patterson,2488721
LaMarcus Aldridge,2983
Lance Stephenson,4244
Lance Thomas,6485
Landry Fields,4274
Landry Shamet,3914044
Langston Galloway,2530572
Larry Sanders,4265
Lauri Markkanen,4066336
Lazar Hayward,4277
Leandro Barbosa,2166
LeBron James,1966
Lester Hudson,3996
Linas Kleiza,2770
London Perrantes,3059286
Lonzo Ball,4066421
Lorenzo Brown,2528787
Lucas Nogueira,3032980
Luigi Datome,2585629
